field_name,field_type,multivalue,required,max_length,display_field_for_foreignkey,dependent_foreignkey_field,help_text,date_format,boolean_checkbox,auto_now_checkbox,auto_now_add_checkbox,max_digits,decimal_places,file_limit,foreignkey_name,ip_protocol,image_height,image_width,min_length,many_to_many,one_to_one,use_seconds_checkbox,default,null,blank,choices_fields,choices,primary_key_field,default_field,unique_field,is_user_foreignKey,is_user_many_to_many,is_user_one_to_one 
detected_fraud_incidents,PositiveIntegerField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
total_amount_involved,FloatField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
resolution_status_percentage,FloatField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
open_fraud_cases,PositiveIntegerField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
fraud_detection_methods,TextField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
created_at,DateTimeField,,True,,,,,,,,True,,,,,,,,,,,,,,,False,,False,,False,False,False,
updated_at,DateTimeField,,True,,,,,,,True,,,,,,,,,,,,,,,,False,,False,,False,False,False,
reported_date,DateField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,now,False,False,False,
fraud_prevention_actions,TextField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
investigation_comments,TextField,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,False,False,
created_by,ForeignKey,,True,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,True,False,
